name,arabic_name
Tile Clips,‫مقاطع البلاط‬
Red Wings,‫أجنحة حمراء‬
Charity Neighborhood Pharmacy,‫صيدلية الحي الخيري‬
Baba,‫بابا‬
Gardenias Hokail,‫جاردينياس هوكيل‬
Arif,‫عارف‬
Swedan,‫السويد‬
Le Lieu,‫لو ليو‬
Elikee,‫إليكي‬
Wedge,‫اسفين‬
Adjustable Pliers,‫كماشة قابلة للتعديل‬
Milma,‫ميلما‬
Fuel Juice,‫عصير الوقود‬
Naemi,‫النعيمي‬
Boshiah and Sala,‫بوشيا وسالا‬
Williams And Tobacco,‫ويليامز والتبغ‬
Big Best,‫بيج بيست‬
Bazuriyah,‫الزورية‬
Yummy Cookies,‫ملفات تعريف الارتباط اللذيذة‬
Rashaqa Market,‫سوق رشقة‬
Nahj Al Qalam Stationary Library,‫مكتبة نهج القلم القرطاسية‬
Mohamiz Coffee,‫قهوة محمدز‬
Beverly Dunots,‫بيفرلي دونوتس‬
Diamond Grills,‫المشاوي الماسية‬
AHK,‫AHK‬
Faham Noor,‫فهام نور‬
‫Venus Cafï؟½‬,‫فينوس كافي؟1/2‬
Marsa AlBalad,‫مرسى البلد‬
Jinan Sweet,‫جينان سويت‬
Nabisaleh,‫نبيصالح‬
Perfect Level Master,‫مستوى مثالي‬
Markas Al-Arif,‫ماركاس العارف‬
Nights And Roses,‫ليالي وورود‬
Sedress,‫Sedress‬
Muthain Fakher Dubai,‫مثين فاخر دبي‬
Wafi Carwash,‫وافي للغسيل‬
The Egyptian World Food,‫الغذاء العالمي المصري‬
Tarouti,‫الطروطي‬
Victoria Perfumes And Cosmetics,‫فيكتوريا للعطور ومستحضرات التجميل‬
Price House (Al-Shamel),‫برايس هاوس (الشامل)‬
Ankawa Iraqi,‫عنكاوا العراقية‬
Shrimpy,‫جمبري‬
Sallat Jerash,‫صلات جرش‬
HAC,‫HAC‬
Eighty Eight Sweets And Juices,‫ثمانية وثمانون حلويات وعصائر‬
Aroos Al-Bahrain Jewellery,‫مجوهرات عروس البحرين‬
ACIC,‫ACIC‬
Raei Pharmacy,‫صيدلية الرعي‬
Saudi Deisel Equipment,‫معدات ديزل السعودية‬
Healthy Food,‫طعام صحي‬
Anwar Al-Botor,‫أنور البتور‬
Mobile Store,‫متجر الجوال‬
Kokoro,‫كوكورو‬
Moon Shadow,‫ظل القمر‬
Shawarma 5,‫شاورما 5‬
BKS,‫BKS‬
Jawda Restaurant,‫مطعم جودة‬
Seema Fashion,‫سيما فاشون‬
Madad Shopping Center,‫مركز مدد للتسوق‬
Khan Ryhan,‫خان ريحان‬
Mayar Supermarket,‫ميار سوبر ماركت‬
Crystal Paper,‫ورق كريستال‬
Shawarma Madena,‫شاورما مدينة‬
‫Sollï؟½r‬,‫Sollï؟1/2r‬
Wadi Al-Siraj,‫وادي السراج‬
Mezzah,‫مزة‬
Shahi Chicken,‫شاهي دجاج‬
Raey Samak,‫راي سماك‬
Manaret Al-Haramain Pharmacy,‫صيدلية منارة الحرمين‬
Dental Eastern Smiles Lab,‫مختبر الابتسامات الشرقية لطب الأسنان‬
Renewed,‫مجدد‬
Fanoos,‫فانوس‬
Asida And Maraq,‫أسيدا ومرق‬
Taib Tazaj New,‫طيب تزاج جديد‬
Hazora Shawerma,‫هزورا شاورما‬
Qufa Resturant,‫مطعم قوفا‬
Boudl Hotels,‫فنادق بودل‬
Pinjab Sweet,‫بنجاب سويت‬
Ibn Zohir Clince,‫ابن زهير كلينس‬
the Palm Coffe,‫قهوة النخيل‬
Ayar Flower,‫زهرة عيار‬
Detective Store,‫متجر المباحث‬
Noor Charcoal New,‫نور فحم جديد‬
Farooj AbuAbed,‫فروج أبو عابد‬
Fatheerath Shawarma,‫شاورما فتحات‬
The Big Boss,‫الزعيم الكبير‬
Ezz Trading Establishment,‫مؤسسة عز التجارية‬
Mahafil Al Mesk,‫مهافيل المسك‬
Tripper Inn,‫تريبر إن‬
Makhtaba AlMugtama,‫مختبى المغتمى‬
Choco Crepe And Coffee,‫كريب شوكو و قهوة‬
Asatir AlFarah,‫أساطير الفرح‬
Punjab Sweets,‫حلويات البنجاب‬
Taxi Shawarma,‫تاكسي شاورما‬
Zaitoon,‫زيتون‬
Bofiya Nasayim Harref,‫بوفية نسيم حريف‬
Bandary Al-Khaleej Supermarket,‫باندري الخليج سوبر ماركت‬
6:00 AM,‫0.25‬
Lamsah Hand,‫لمسة هاند‬
AHL Al Zainabiya Grocery,‫بقالة AHL الزينبية‬
Maiz,‫ميز‬
Star Charcoal,‫نجمة الفحم‬
Madadi,‫مدادي‬
Shine Dental Lab,‫مختبر شاين لطب الأسنان‬
Sanabel Al-Shouk Bakery,‫مخبز سنابل الشوك‬
‫Gosto De Cafï؟½‬,‫[غوستو] دي كافي?1/2‬
Abaya Althuraya,‫عباية الثريا‬
Fathera As Ssakhana,‫فادرا مثل سساخانا‬
Cebu Market,‫سوق سيبو‬
Roma Castle,‫قلعة روما‬
Kabsa wa Ibdam,‫كبسة وعبدام‬
Shawarma Mama,‫شاورما ماما‬
Modawir Cafeteria,‫كافيتريا مدوار‬
Nahar Markets,‫أسواق النهار‬
Shalimar Restaurant,‫مطعم شاليمار‬
Fajr Saihat,‫فجر سيحات‬
Rivan Restaurant,‫مطعم ريفان‬
Beach Gate Grocery,‫بقالة بيتش جيت‬
Healthy Yard,‫ساحة صحية‬
Baking Time,‫وقت الخبز‬
FAL Paper,‫ورق FAL‬
The Green Coral,‫المرجان الأخضر‬
Grapeleaf,‫العنب‬
Qaisoom,‫قيسوم‬
Fit Food Restaurant,‫مطعم فيت فود‬
Eighty Eight Car Wash,‫ثمانية وثمانون غسيل سيارات‬
Jamal,‫جمال‬
‫O Cafï؟½‬,‫يا مقهى؟1/2‬
Sif World Pastry,‫سيف وورلد المعجنات‬
Rathath Al-Sharq,‫راثاذ الشرق‬
Echarp,‫إتشارب‬
Carpet,‫سجادة‬
Vape Smog,‫الضباب الدخاني‬
Crep House,‫كريب هاوس‬
Rai Samak,‫راي سماك‬
Anseef Restaurant,‫مطعم أنصيف‬
Hakuna Matata,‫هاكونا ماتاتا‬
Dar Zaina,‫دار زينة‬
Shawarma Dolma,‫شاورما دولما‬
We Care Hospirtal,‫نحن نهتم بالمستنقف‬
Maaliq,‫المالك‬
Hodhod World,‫عالم هدهد‬
Set AlSham,‫ست الشام‬
Gulf Bridge Laboratory,‫مختبر جسر الخليج‬
Baba Bakers Sweets,‫حلويات بابا بيكرز‬
Cavolo,‫كافولو‬
‫Reyooq Cafï؟½‬,‫مقهى ريوق؟1/2‬
Khafji,‫الخفجي‬
Seeds Salad,‫سلطة البذور‬
Almadi Trading Company,‫شركة المادي التجارية‬
Muscle Food,‫طعام العضلات‬
Five Zero Five Connection,‫اتصال خمسة زيرو فايف‬
‫Tune Cafï؟½‬,‫لحن المقهى؟1/2‬
Manar AlHaya Pharmacy,‫صيدلية منار الحياة‬
Cosz Burger,‫كوز برجر‬
Zamil Supply,‫الزامل للتوريد‬
Rowad Al Madar Maintenance Company,‫شركة رواد المدار للصيانة‬
Savings Hall,‫صالة التوفير‬
Bayda Food Stuff,‫بيضة للمواد الغذائية‬
Maimona Restaurant,‫مطعم ميمونة‬
WAG,‫هز‬
Faroj Al Akabir,‫فاروق الأكبير‬
Hayba,‫هيبة‬
Taka Shawarma,‫تاكا شاورما‬
Alfa Alkhaleej,‫ألفا الخليج‬
Skeek,‫سكيك‬
Samoli Bar,‫سامولي بار‬
Kees Falafel,‫كيس فلافل‬
Riccis Bakery,‫مخبز ريتشيس‬
Ruwad Al-Madar Maintenance Company,‫شركة رواد مدار للصيانة‬
Litore,‫ليتور‬
Eva Company for Food Products,‫شركة إيفا للمنتجات الغذائية‬
Kareem Restaurant,‫مطعم كريم‬
Feasible Solutions,‫حلول مجدية‬
Healthy Box,‫صندوق صحي‬
Naba Alsaha  Pharmacy,‫صيدلية نبأ الساحة‬
Mohsin,‫محسن‬
Orjwan Flower,‫زهرة أورجوان‬
Le Chef,‫لو شيف‬
Shams Al-Zohoor,‫شمس الزهور‬
Sherpa,‫شيربا‬
Ahyan Fashion,‫أهيان فاشون‬
Bokhari Mobahar (MB),‫بخاري مبحر (MB)‬
Sheep #1,‫الأغنام # 1‬
Khaldi,‫الخالدي‬
Kojo,‫كوجو‬
‫Ladna Restaurant And Cafï؟½‬,‫مطعم ومقهى لدنا؟1/2‬
Mummy,‫مومياء‬
Madah,‫مداح‬
Bakhshuwan,‫بخشوان‬
Piccolo,‫بيكولو‬
Taybat Al-Khair,‫طيبة الخير‬
Rumanah Restaurant,‫مطعم رمانة‬
Pharmacy Dose,‫جرعة الصيدلية‬
Donut Corner,‫ركن الدونات‬
Sambosati,‫سامبوستي‬
Alnoor,‫النور‬
Eclipse,‫كسوف‬
Moasisat Qamar,‫مشاركات قمر‬
KO Brosted,‫كو بروستد‬
Diet Plan,‫خطة النظام الغذائي‬
Supplement Time,‫وقت الملحق‬
ALKARAM,‫الكرم‬
Jazz,‫جاز‬
Quma Al-Lahmo,‫قومة اللحمو‬
Rawnd Hotel,‫فندق Rawnd‬
Koshari Hend,‫كوشاري هند‬
6 Pack Way,‫6 حزمة طريقة‬
MN Trading,‫MN للتجارة‬
Hilal Al-Sharqi,‫هلال الشرقي‬
Plant,‫نبات‬
Nasthi Zero,‫ناشثي زيرو‬
ASL Al-Bukhari,‫أهل البخاري‬
Razizati,‫رازيزتي‬
Moasisat Al-Aqeel,‫مشاركات العقيل‬
Eileen,‫ايلين‬
Wash N Go,‫غسل N Go‬
Salat Bit Al-Falafel,‫صلاة بيت الفلافل‬
Locate Market,‫تحديد موقع السوق‬
Bar Code,‫الباركود‬
Shawarma Barrel,‫شاورما برميل‬
Century Wedding Center,‫مركز زفاف القرن‬
Modern Sources Company,‫شركة المصادر الحديثة‬
Legabo,‫ليجابو‬
Siyhad Foodstuff Company,‫شركة سيهاد للمواد الغذائية‬
Genetic Group,‫المجموعة الوراثية‬
Tadawi Hospital,‫مستشفى التداوي‬
Natfah,‫نتفاة‬
Diet Mix,‫دايت ميكس‬
Falawath Plastic,‫فلواث بلاستيك‬
CDI Products,‫منتجات CDI‬
Turquoise Carwash,‫غسيل السيارات الفيروزي‬
Talat Jabal,‫طلعت جبل‬
Chicken Express,‫دجاج اكسبرس‬
Senparts,‫Senparts‬
Lightech,‫لايتيك‬
Grand Darbar,‫جراند دربار‬
Sixty-Three Auto Spare Parts,‫ثلاثة وستون قطع غيار سيارات‬
Mataam Gamar,‫متام جمار‬
Hospitality Palace,‫قصر الضيافة‬
Fariq,‫فارق‬
Shubak Omdah,‫شوبك أمدة‬
Zad AL Bahrain,‫زاد البحرين‬
Dakah Sport,‫دكة سبورت‬
Takyah Sheef,‫تقية شيف‬
Khobs Masah Matwe,‫خوبس ماساه ماتوي‬
Toasters,‫المحامص‬
Sowailah,‫سويلة‬
Mr. Diet,‫السيد دايت‬
Sikka,‫سكة‬
Riyaah Alsalam Restaurant,‫مطعم رياة السلام‬
Lechy,‫ليتشي‬
Shamel Falafil,‫شامل فلافل‬
Tharaa Bookstore,‫مكتبة ثراء‬
Farooj One,‫فروج ون‬
Jaz,‫جاز‬
Textile Fabrics,‫أقمشة النسيج‬
Hayat Al-Waraq Factory,‫مصنع حياة الوراق‬
Bahryat Express,‫البحريات اكسبريس‬
Hala Elhelw,‫هالة الحلو‬
Atyaf Al-Nakhat,‫أطياف النخط‬
Hana,‫هناء‬
Mashtal Al-Ghadeer,‫مشتل الغدير‬
Shawarma Hazwra,‫شاورما هزورا‬
ONS Sweet,‫ONS حلو‬
Boied,‫بويد‬
Dar Afia Bahrain,‫دار عافية البحرين‬
Mudeef Resturant HID,‫مديف مطعم HID‬
Almaha,‫المها‬
Narges Flower,‫زهرة النرجس‬
General Stores,‫المتاجر العامة‬
Munawer,‫منور‬
Pastries And Bakeshop,‫المعجنات والمخبز‬
KWATIM RESTURANT/BASSAM,‫مطعم كواتيم / بسام‬
ALQIMAH CENTER(TOP)/MOHD.MANSOOR,‫مركز القمة(أعلى) / محمد الدفاع. منصور‬
HARAT RAHAL BAKERIES & SWEET,‫مخابز حرات رحال والحلويات‬
Lamsat Shahad (LS),‫لمسات شهد (LS)‬
Oasis Saving for Everything Centre,‫مركز الواحة للتوفير لكل شيء‬
